ID,Type,Age,Sex,PCA_Type,Type/Breed/Species,MC_GL,MC_Bd,MC_DD,MC_Bp,MC_SD,MC_Batf,MC_a,MC_b,MC_c,MC_d,MC_e,MC_f,MC_1,MC_2,MC_3,MC_4,MC_5,MC_6,MC_7,MC_8,MC_9,MC_10,MC_e1,MC_f4,MC_a2,MC_b5,MC_a3,MC_b6,MC_ae2,MC_a8,MC_b10,MC_c8,MC_d10,MC_SDDD,MC_c7,MC_d9,MC_ae3,MC_ae7,MC_c2,MC_d5,MC_a1,MC_b4,MC_a7,MC_b9,MC_BpGL,MC_BatfGL,MC_BdGL
537(516),Non-draught,16.7,Female,Non-draught cattle,Holländer  crossbreed,199,53.04,24.49,58.12,34.77,45.08,25.77,24.41,25.92,24.64,15.97,13.72,24.05,33.66,29.88,22.97,31.87,29.44,25.59,29.89,21.95,30.03,0.664033264,0.597300827,0.765597148,0.765924067,0.862449799,0.829144022,0.291146762,0.862161258,0.812853813,0.867179659,0.820512821,1.419763169,1.012895662,1.122551253,0.327978581,0.382962095,0.770053476,0.773140885,1.071517672,1.062690466,1.007033998,1.112072893,0.292060302,0.226532663,0.266532663
583(376),Non-draught,2.9,Female,Non-draught cattle,Shorthorn crossbreed,205,64.69,24.58,67.96,43.24,57.68,30.55,27.83,30.02,27.95,20.32,17.45,28.07,36.42,32.89,25.14,34.95,32.43,30.09,32.65,26.39,32.73,0.723904524,0.694112967,0.838824822,0.796280401,0.928853755,0.858156028,0.280889621,0.93568147,0.850290254,0.919448698,0.853956615,1.759153784,0.997673646,1.0591133,0.311036789,0.33998006,0.824272378,0.799713877,1.088350552,1.107000796,1.015287471,1.054566124,0.331512195,0.281365854,0.315560976
566(201),Non-draught,6.9,Male,Non-draught cattle,Shorthorn crossbreed,243,73.62,30.71,80.64,48.25,70.23,36.01,32.66,34.82,32.11,24.43,20.72,33.41,40.72,37.33,30.13,40.05,36.79,34.28,36.76,28.92,36.57,0.731218198,0.687686691,0.884332024,0.815480649,0.9646397,0.887741234,0.284381139,0.979597388,0.893081761,0.947225245,0.878042111,1.571149463,1.015752625,1.110304288,0.310206268,0.337806301,0.855108055,0.801747815,1.077821012,1.083969466,1.050466744,1.129322268,0.331851852,0.289012346,0.302962963
565(161),Non-draught,7,Male,Non-draught cattle,Shorthorn crossbreed,212,66.32,26.58,73.19,41.64,56.36,32.54,30.07,31.01,30.31,19.81,17.58,29.76,39.67,35.75,27.45,37.94,33.39,31.09,34.87,27.17,34.48,0.665658602,0.640437158,0.820267204,0.792567211,0.91020979,0.900569033,0.320897404,0.933180384,0.872099768,0.889303126,0.879060325,1.566591422,0.997426825,1.115568642,0.356083916,0.409456417,0.781699017,0.798892989,1.093413978,1.095446266,1.046638791,1.10673537,0.345235849,0.265849057,0.312830189
580(339),Non-draught,4.6,Female,Non-draught cattle,Shorthorn crossbreed,215,64.28,27.36,66.41,44.62,59.13,31.46,29.16,30.91,28.25,20.48,18.08,29.96,38.34,33.47,26.77,37.18,34.52,31.33,33.38,27.84,34.19,0.683578104,0.675382891,0.820552947,0.78429263,0.93994622,0.844727694,0.286384977,0.942480527,0.852880959,0.926003595,0.82626499,1.630847953,0.986594319,1.014727011,0.328054975,0.350462815,0.806207616,0.759817106,1.050066756,1.089279044,1.004149378,1.047413793,0.308883721,0.275023256,0.298976744
612(528),Non-draught,7.3,Male,Non-draught cattle,Shorthorn crossbreed,199,69.71,29.52,78.23,47.79,67.22,33.44,30.81,32.84,30.12,20.35,18.77,31.24,39.79,36.27,29.07,38.92,35.78,32.78,35.41,28.07,36.42,0.651408451,0.645682835,0.840412164,0.791623844,0.921974083,0.861095584,0.32897713,0.944365998,0.845963756,0.927421632,0.827018122,1.618902439,1.001830384,1.073031706,0.360904329,0.399328859,0.825332998,0.77389517,1.070422535,1.059855521,1.020134228,1.09761311,0.393115578,0.337788945,0.350301508
215(570),Non-draught,3.5,Male,Non-draught cattle,Shorthorn crossbreed,207,71.12,25.22,75.51,39.56,58.97,34.79,32.93,32.87,31.46,21.33,18.74,31.81,40.02,37.19,28.31,39.32,37.25,31.76,38.09,28.96,38.38,0.670543854,0.661956906,0.869315342,0.837487284,0.935466523,0.884026846,0.336331834,0.913363087,0.857998958,0.862956156,0.819697759,1.568596352,1.034949622,1.086325967,0.361925249,0.423803526,0.82133933,0.800101729,1.093681232,1.163193218,1.095403023,1.137085635,0.364782609,0.284879227,0.343574879
572(229),Non-draught,3.6,Male,Non-draught cattle,Shorthorn crossbreed,232,71.43,29.97,77.25,45.75,64.07,33.85,32.71,33.09,31.75,19.59,19.32,29.88,39.38,35.02,28.67,38.49,35.85,31.55,35.91,29.27,36.14,0.65562249,0.673875131,0.859573388,0.849831125,0.96659052,0.912412831,0.362112748,0.942634364,0.905091312,0.921470343,0.878527947,1.526526527,1.04881141,1.084728391,0.407195888,0.451980983,0.840274251,0.824889582,1.132864793,1.140913847,1.072900158,1.117526478,0.332974138,0.276163793,0.307887931
R671,Non-draught,3.5,Female,Chillingham,Chillingham,177,55.91,20.38,52.89,30.32,48.25,26.15,25.35,24.99,23.79,15.14,15.62,22.18,29.18,25.63,21.47,28.86,26.25,22.15,26.02,21.61,26.37,0.682596934,0.727526782,0.896161755,0.878378378,1.020288724,0.965714286,0.377313228,1.004996157,0.961319681,0.960415065,0.902161547,1.487733072,1.128216704,1.100879223,0.429574717,0.497065463,0.856408499,0.824324324,1.178990081,1.18071728,1.180586907,1.173068024,0.298813559,0.27259887,0.315875706
R673,Non-draught,3.5,Female,Chillingham,Chillingham,179,55.83,20.77,54.23,30.49,48.95,26.31,25.51,24.83,23.71,15.23,15.17,21.79,29.36,26.08,21.29,28.52,26.19,22.15,26.49,21.51,26.43,0.69894447,0.712541099,0.896117166,0.894460028,1.008819018,0.974035892,0.377384196,0.993204983,0.965191071,0.937334843,0.897086644,1.467982667,1.120993228,1.10227801,0.424846626,0.500225734,0.845708447,0.831346424,1.207434603,1.198215124,1.187810384,1.185960019,0.302960894,0.273463687,0.311899441
