ID,Type,Age,Sex,Type/Breed/Species,Side,PH1_Anterior_GLpe,PH1_Anterior_Bp,PH1_Anterior_Dp,PH1_Anterior_Bd,PH1_Bp_Dp,PH1_Bd_Glpe
537(516),Non-draught,16.7,Female,Holländer  crossbreed,P,62.66,27.65,32.05,26.99,0.862714509,0.430737312
566(201),Non-draught,6.9,Male,Shorthorn crossbreed,P,76.54,36.63,42.32,30.63,0.865548204,0.400182911
565(161),Non-draught,7,Male,Shorthorn crossbreed,P,66.19,33.48,40.15,28.24,0.833872976,0.426650551
580(339),Non-draught,4.6,Female,Shorthorn crossbreed,P,,32.57,,27.25,,
612(528),Non-draught,7.3,Male,Shorthorn crossbreed,P,67.11,38.84,41.42,29.39,0.937711251,0.437937714
572(229),Non-draught,3.6,Male,Shorthorn crossbreed,P,73.18,35.83,39.36,30.84,0.910315041,0.421426619
R671,Non-draught,3.5,Female,Chillingham,P,58.84,26.04,29.49,24.78,0.88301119,0.42114208
R673,Non-draught,3.5,Female,Chillingham,P,57.55,25.77,29.09,23.46,0.885871433,0.407645526
R672,Non-draught,3.5,Female,Chillingham,P,55.88,26.25,31.57,25.76,0.831485588,0.460987831
R625,Non-draught,,Male,Chillingham,P,59.67,29.45,33.36,27.73,0.882793765,0.464722641
R760,Non-draught,,Male,Chillingham,P,60.11,28.36,32.35,27.88,0.876661515,0.463816337
1953.4.22.6,Non-draught,9.6,Male,Chillingham,P,59.72,27.26,31.34,26.62,0.869814933,0.445746818
1953.4.22.5,Non-draught,8.1,Male,Chillingham,P,58.03,27.51,32.21,26.31,0.854082583,0.45338618
1953.4.22.4,Non-draught,1.5,Female,Chillingham,P,57.16,25.47,29.51,22.66,0.863097255,0.396431071
1953.4.22.9b,Non-draught,,Unknown,Chillingham,P,54.92,24.65,30.53,23.25,0.807402555,0.423343044
1953.4.22.1,Non-draught,,Unknown,Chillingham,P,52.71,23.07,28.58,22.69,0.807207838,0.430468602
1953.4.22.2,Non-draught,,Unknown,Chillingham,P,57.1,24.41,28.38,23.52,0.860112755,0.411908932
1981.984,Non-draught,14,Female,Chillingham,P,60.03,26.59,29.09,24.52,0.914059814,0.408462435
1981.989,Non-draught,10,Female,Chillingham,P,60.21,26.46,31.44,25.05,0.841603053,0.416043847
1981.986,Non-draught,14,Female,Chillingham,P,56.97,25.63,30.05,22.45,0.852911814,0.394067053
1981.985,Non-draught,5,Female,Chillingham,P,57.64,25.76,28.94,25.13,0.890117484,0.435981957
1924.4.28.1,Non-draught,12.35,Male,Chartley,P,66.94,36.53,40.13,31.14,0.910291552,0.46519271
1980.2665,Non-draught,10.47,Male,Chartley,P,63.28,32.37,33.69,26.55,0.960819234,0.419563843
1975.303,Non-draught,,Male,Chartley,P,69.93,42.62,40.97,33.63,1.040273371,0.480909481
2002.118,Non-draught,,Female,Charolais,P,66.15,32.26,36.18,28.88,0.891652847,0.436583522
2002.117,Non-draught,3.75,Castrated Male,Jersey,P,67.89,29.91,34.73,26.21,0.861215088,0.386065695
91.107.M1,Draught,6,Castrated Male,Romanian Grey & Brown,P,69.1,39.2,44.2,36.5,0.886877828,0.528219971
91.107.M2,Draught,8,Castrated Male,Romanian Grey & Brown,P,66.5,41,44.5,36.3,0.921348315,0.545864662
91.107.M3,Draught,10,Castrated Male,Romanian Grey & Brown,P,68.1,37.6,44,36.1,0.854545455,0.53010279
91.107.M4,Draught,14,Castrated Male,Romanian Grey & Brown,P,70.5,40,50.7,37.5,0.788954635,0.531914894
91.107.M5,Draught,6,Castrated Male,Romanian Grey & Brown,P,66.2,37.1,42.9,33.9,0.864801865,0.512084592
91.107.M6,Draught,19,Castrated Male,Romanian Grey & Brown,P,67.2,35.3,40.9,33.9,0.863080685,0.504464286
91.107.M7,Draught,14,Castrated Male,Romanian Grey & Brown,P,70.7,41.5,47.5,38.9,0.873684211,0.550212164
91.107.M8,Draught,,Castrated Male,Romanian Grey & Brown,P,57.2,31.6,36.1,31.1,0.87534626,0.543706294
91.107.M9,Draught,12,Castrated Male,Romanian Grey & Brown,P,68.1,38.9,43.8,37.2,0.888127854,0.546255507
91.107.M10,Draught,9,Castrated Male,Romanian Grey & Brown,P,69.2,39.1,43.5,36.2,0.898850575,0.523121387
91.107.M11,Draught,8,Castrated Male,Romanian Grey & Brown,P,74.1,41.5,48.1,38,0.862785863,0.512820513
91.107.M12,Draught,9,Castrated Male,Romanian Grey & Brown,P,64.1,35.2,40.8,32.8,0.862745098,0.511700468
91.107.M13,Draught,8,Castrated Male,Romanian Grey & Brown,P,61,34,39.2,31.1,0.867346939,0.509836066
91.107.M14,Draught,10,Castrated Male,Romanian Grey & Brown,P,61.9,33.2,39.5,31,0.840506329,0.500807754
91.107.M24,Draught,,Castrated Male,Romanian Grey & Brown,P,65.2,36.9,43.1,35.2,0.856148492,0.539877301
91.107.M25,Draught,,Castrated Male,Romanian Grey & Brown,P,69.14,40,44.5,35.8,0.898876404,0.517789991
91.107.M15,Non-draught,,Male,Romanian Grey & Brown,P,67.2,36.1,40.2,32.1,0.89800995,0.477678571
91.107.M16,Non-draught,,Male,Romanian Grey & Brown,P,61.3,33.2,37.1,29.4,0.894878706,0.479608483
91.107.M18,Non-draught,,Male,Romanian Grey & Brown,P,62.9,33.2,38.2,30.5,0.869109948,0.484896661
