ID,Type,Age,Sex,Type/Breed/Species,Side,PH2_Anterior_GLpe,PH2_Anterior_Bp,PH2_Anterior_Dp,PH2_Anterior_Bd,PH2_Bp_GLpe,PH2_Bd_GLpe
91.107.M13,Draught,8,Castrated Male,Romanian Grey & Brown,A,42.5,41.3,44.5,33.8,0.971764706,0.795294118
91.107.M14,Draught,10,Castrated Male,Romanian Grey & Brown,A,41,35.2,42,31.5,0.858536585,0.768292683
91.107.M22,Draught,,Castrated Male,Romanian Grey & Brown,A,47.8,40.8,49.1,37.8,0.853556485,0.790794979
91.107.M23,Draught,,Castrated Male,Romanian Grey & Brown,A,40.1,34.5,39,32,0.860349127,0.798004988
91.107.M15,Non-draught,,Male,Romanian Grey & Brown,A,46.1,37.5,42,33.2,0.813449024,0.720173536
91.107.M16,Non-draught,,Male,Romanian Grey & Brown,A,37.2,32,37,28.3,0.860215054,0.760752688
91.107.M17,Non-draught,,Male,Romanian Grey & Brown,A,43.7,34.1,38,30.3,0.780320366,0.693363844
91.107.M18,Non-draught,,Male,Romanian Grey & Brown,A,40.2,34.9,39.1,31.5,0.868159204,0.78358209
91.107.M20,Non-draught,,Male,Romanian Grey & Brown,A,41.2,34.7,41.1,31.9,0.84223301,0.774271845
91.107.M21,Non-draught,,Male,Romanian Grey & Brown,A,43.1,33.6,40.1,31.1,0.779582367,0.721577726
0078,Non-draught,,Female,Unknown,P,42.95,30.55,32.46,23.29,0.7112922,0.54225844
0079,Non-draught,8.1,Female,Unknown,P,38.15,29.44,31.85,22.05,0.771690695,0.577981651
76,Non-draught,3.8,Female,Breitenburger,P,42.06,31.59,33.86,23.45,0.7510699,0.557536852
398(5199),Non-draught,6.8,Female,Wilstermarscher   ,P,46.65,31.91,36.16,23.5,0.684030011,0.50375134
770(5341),Non-draught,18.8,Female,Holstein Friesian crossbreed,P,44.52,32.92,38.88,24.41,0.739442947,0.548292902
19(5352),Non-draught,10.5,Female,Angeln,P,43.34,28.88,33.94,22.29,0.666359022,0.514305491
14,Non-draught,,Female,Angeln,P,44.36,30.41,36.27,22.86,0.685527502,0.515329125
22(5353),Non-draught,9.5,Female,Ansbach-Triesdorfer,P,45.92,35.98,38.33,26.69,0.783536585,0.581228223
294(5351),Non-draught,13,Male,Podolian,P,47.66,33.81,39.43,23.63,0.709399916,0.495803609
293(5351),Non-draught,7.6,Female,Podolian,P,45.3,30.6,34.41,21.17,0.675496689,0.467328918
388(5189),Non-draught,10.3,Female,Westerwälder,P,38.25,27.32,30.65,19.22,0.714248366,0.50248366
368(5192),Non-draught,10.8,Female,Westerwälder,P,42.02,30.08,31.58,22.18,0.715849595,0.527843884
353(5250),Non-draught,5.6,Female,Simmental,P,45.58,32.33,35.19,24.69,0.709302326,0.54168495
126(5274),Non-draught,5,Female,Fribourgeoise,P,45.27,34.01,38.91,23.52,0.751270157,0.51954937
188(5286),Non-draught,6,Female,Harzer,P,41.59,29.84,32.86,23.52,0.717480164,0.565520558
380(319),Non-draught,,Female,Vogtlander,P,41.88,31.27,33.08,21.96,0.746657116,0.524355301
323(5326),Non-draught,,Female,Schwyzer,P,45.85,35.23,38.19,25.11,0.768375136,0.547655398
