PCA_Type,MT_e1,MT_f4,MT_a2,MT_b5,MT_a3,MT_b6,MT_ae2,MT_a8,MT_b10,MT_c8,MT_d10,MT_SDDD,MT_c7,MT_d9,MT_ae3,MT_ae7,MT_c2,MT_d5,MT_a1,MT_b4,MT_a7,MT_b9,MT_BpGL,MT_BatfGL,MT_BdGL
Non-draught cattle,0.634173462,0.60881877,0.769145701,0.782757636,0.865857454,0.84187903,0.296101742,0.84482235,0.808611029,0.830549651,0.798584488,1.065937707,1.002565982,1.06866614,0.333333333,0.392595308,0.756151507,0.77305167,1.031134173,1.109223301,1.019794721,1.082083662,0.228851064,0.237531915,0.249021277
Non-draught cattle,0.625226531,0.612678779,0.781068364,0.757379814,0.886584983,0.834831112,0.303625796,0.886306533,0.815128593,0.854585427,0.760060514,1.04676259,1.001472212,1.006813627,0.344643418,0.403754141,0.753113756,0.706213101,1.02283436,1.041360649,1.038645565,1.079759519,0.214054054,0.202895753,0.229073359
Non-draught cattle,0.713140467,0.616422513,0.833704116,0.795501022,0.93221393,0.891325696,0.264738598,0.927025356,0.835788828,0.906617192,0.836402701,1.010519988,0.980274156,1.050096339,0.2960199,0.318288198,0.815350389,0.796085305,1.044963402,1.049730146,1.002340354,1.049325626,,,
Non-draught cattle,0.690729483,0.608971814,0.772162386,0.750069657,0.864831426,0.811576726,0.270091135,0.855831038,0.793398173,0.845423936,0.803418803,1.239291465,1.013206163,1.060287826,0.302505413,0.358767425,0.762772715,0.759543048,1.06231003,1.068678047,1.02567865,1.047063399,0.23789272,0.225555556,0.227547893
Non-draught cattle,0.698866703,0.578037904,0.81734104,0.756525127,0.924989097,0.840328862,0.318304432,0.905636208,0.826031476,0.903074295,0.851977882,1.181818182,1.084059457,1.253441802,0.360226777,0.423372629,0.815028902,0.780288274,1.144630329,1.082497213,1.087134803,1.215269086,0.222189349,0.251656805,0.264142012
Non-draught cattle,0.657480315,0.611111111,0.781289507,0.7274442,0.890810811,0.815075731,0.306257901,0.88034188,0.791652412,0.888532764,0.809784468,1.169543537,1.04699958,1.062864841,0.349189189,0.406630298,0.788558786,0.744105627,1.081364829,1.045167118,1.037347881,1.039066008,0.213243243,0.222612613,0.23545045
Non-draught cattle,0.703343208,0.669959587,0.796140678,0.779530093,0.901021486,0.841849148,0.278867102,0.903567644,0.822410866,0.886965736,0.807809847,1.063765941,1.050188206,1.072587917,0.315604086,0.374738603,0.781512605,0.765690377,1.082522218,1.087561742,1.069845253,1.091974752,0.217761905,0.214190476,0.255142857
Non-draught cattle,0.768448962,0.702275894,0.832465843,0.851615074,0.992629946,0.959438969,0.266753416,1.033521809,0.925411335,0.990306947,0.858866545,1.026151444,1.046075085,1.074074074,0.318076028,0.349829352,0.797657775,0.790376851,1.130799823,1.175568974,1.091723549,1.157293096,,,
Non-draught cattle,0.768383972,0.633378933,0.800191205,0.774951076,0.927937916,0.87385068,0.244104525,0.926910299,0.832224168,0.877814692,0.809457093,1.095764273,0.979003705,1.064486412,0.283074649,0.315356114,0.757807521,0.753750815,1.105680317,1.083447332,1.033758748,1.094426532,0.242789474,0.248736842,0.275052632
Non-draught cattle,0.645249487,0.637418419,0.757743641,0.758973015,0.869904597,0.826769406,0.282296651,0.835601222,0.78002154,0.863926687,0.795638126,1.170919152,1.028429752,1.017211704,0.324082105,0.370578512,0.783429867,0.774168195,1.02836637,1.05039884,0.994710744,0.997246127,0.243055556,0.248730159,0.25015873
Non-draught cattle,0.657534247,0.626854317,0.757559958,0.740026774,0.861803084,0.833031947,0.269551616,0.857733176,0.821396731,0.85566706,0.802674591,1.105693519,0.983378562,1.040446841,0.306642942,0.350746269,0.755735141,0.723159304,1.020723569,1.051350323,0.985753053,1.064714946,0.238059072,0.237848101,0.259535865
Non-draught cattle,0.656889232,0.656752412,0.708481047,0.71336689,0.797666564,0.75518058,0.244341424,0.799876847,0.744600117,0.802339901,0.723292469,1.096851472,1.009686168,1.04822335,0.275099785,0.347152267,0.710662667,0.69295302,1.00270166,1.025321543,1.006586594,1.079103215,0.207935223,0.203360324,0.224251012
Non-draught cattle,0.675565443,0.592316739,0.785437431,0.740079365,0.891857906,0.80018388,0.281007752,0.888227927,0.771572104,0.886975579,0.775413712,1.182708544,1.006036932,1.017843289,0.31908205,0.360440341,0.784330011,0.743764172,1.051909529,1.023520188,1.007457386,1.012800621,0.197346154,0.218269231,0.227576923
Non-draught cattle,0.629038536,0.598807157,0.783146391,0.757435749,0.895429135,0.827183854,0.318377912,0.887548892,0.803369066,0.864732725,0.807350689,1.073208244,0.995497186,1.071109305,0.364024992,0.415384615,0.763014093,0.76118972,1.059945504,1.042942346,1.021763602,1.0658269,0.206803279,0.224713115,0.23045082
Non-draught cattle,0.622415669,0.587812263,0.777967549,0.760850819,0.867068528,0.819251006,0.289496157,0.857546282,0.795133674,0.839974898,0.796936017,1.109834404,0.975938753,1.028693292,0.322652284,0.370761939,0.762026758,0.762575453,0.991294886,1.001892506,0.996354357,1.026366809,0.20560166,0.225975104,0.241410788
