PCA_Type,MC_e1,MC_f4,MC_a2,MC_b5,MC_a3,MC_b6,MC_ae2,MC_a8,MC_b10,MC_c8,MC_d10,MC_SDDD,MC_c7,MC_d9,MC_ae3,MC_ae7,MC_c2,MC_d5,MC_a1,MC_b4,MC_a7,MC_b9,MC_BpGL,MC_BatfGL,MC_BdGL
Non-draught cattle,0.717034068,0.656984195,0.862292052,0.802694899,0.94179004,0.855092276,0.311152187,0.95139361,0.854800137,0.954792658,0.871540827,1.441088898,1.116898608,1.12976085,0.339838493,0.401590457,0.865372766,0.818415143,1.121843687,1.068774028,1.112922465,1.10806023,0.2705,0.220863636,0.258454545
Non-draught cattle,0.677745057,0.690249433,0.812212335,0.795504215,0.933027846,0.884108258,0.317888923,0.921016006,0.874099485,0.946764092,0.886106346,1.621821544,1.123451693,1.135384615,0.36517448,0.427745665,0.834918687,0.80643147,1.113588557,1.155555556,1.092898431,1.12,0.303560209,0.268795812,0.291832461
Non-draught cattle,0.683851144,0.631959508,0.828792735,0.80212592,0.920498368,0.862796834,0.293803419,0.919407407,0.855274629,0.925925926,0.828538216,1.465447898,1.012309686,1.034095031,0.326312667,0.356333009,0.834668803,0.777050968,1.059405941,1.063991323,1.005183026,1.067464635,,,
Non-draught cattle,0.728707783,0.753499222,0.888858472,0.87001978,1.019146265,0.951483313,0.345469477,1.012472716,0.950015427,0.987215466,0.906818883,1.608679525,1.135581062,1.105302745,0.396107972,0.452654232,0.866684917,0.830460582,1.191997063,1.197122862,1.164634146,1.157954118,0.410594595,0.337405405,0.369513514
Non-draught cattle,0.647058824,0.63434266,0.840825558,0.808836269,0.918184625,0.877231444,0.327678824,0.905327245,0.855528406,0.903805175,0.84086744,1.605414274,1.041023843,1.034573469,0.35782649,0.406381487,0.839411931,0.794975455,1.060249554,1.073591414,1.042776999,1.0526118,0.311682692,0.271971154,0.302259615
Non-draught cattle,0.733657079,0.726537217,0.851087878,0.845733984,1,0.931940487,0.29612885,0.974126779,0.875408861,0.940168176,0.852215284,1.524077047,1.084296904,1.128790863,0.347941567,0.390898918,0.82141848,0.82332663,1.125140082,1.190938511,1.123461395,1.159511619,0.314731707,0.286536585,0.310585366
Non-draught cattle,0.688963211,0.718372821,0.866190322,0.835051546,0.963163597,0.908465991,0.330951608,0.953180843,0.89614561,0.936740529,0.886509636,1.430260047,1.092994162,1.114901257,0.368002889,0.424937448,0.851250406,0.826072498,1.114966555,1.122485472,1.112176814,1.127019749,0.295585106,0.240638298,0.291595745
Non-draught cattle,0.764784497,0.755242227,0.849005647,0.845955027,0.94895719,0.924054207,0.28701203,0.976009032,0.916293393,0.921253175,0.892217245,1.429519595,1.015241058,1.170830272,0.320801317,0.363608087,0.801374908,0.823727061,1.155362513,1.18329718,1.075583204,1.202424688,0.35638009,0.287873303,0.322217195
Non-draught cattle,0.717258262,0.696815287,0.830081812,0.804909149,0.936124911,0.879178273,0.276903713,0.921733054,0.86919105,0.903913347,0.870223752,1.610973801,1.031088083,1.052894627,0.312278211,0.350737346,0.814033984,0.805865477,1.07629539,1.072186837,1.051414906,1.051645148,0.315815217,0.251467391,0.299619565
Non-draught cattle,0.730055021,0.709037472,0.90506497,0.882159496,1.00176108,0.933855527,0.342084328,0.976258581,0.915268695,0.946224256,0.897924367,1.591621129,1.110812626,1.13027917,0.378632228,0.433176629,0.877220896,0.865442587,1.173658872,1.182586334,1.146071189,1.152111668,0.351756098,0.299414634,0.345219512
Non-draught cattle,0.684346701,0.680802554,0.84386252,0.837990685,0.942940746,0.899000714,0.324386252,0.917764329,0.892945764,0.906372375,0.845799362,1.447844228,1.065717874,1.068517689,0.362472568,0.414817915,0.833387889,0.793745842,1.111686072,1.148654811,1.079112599,1.128078818,0.290152284,0.230050761,0.275939086
Non-draught cattle,0.739224919,0.720663769,0.88281033,0.845275478,1.026808786,0.94239338,0.316023327,1.00856599,0.9049511,0.988895939,0.896393643,1.521688159,1.084551148,1.139029126,0.367571059,0.395963814,0.865592891,0.837282329,1.151394422,1.169893323,1.106123869,1.149902913,0.327536946,0.263399015,0.320738916
Non-draught cattle,0.740420272,0.684256433,0.875794155,0.848475016,0.969409283,0.914975507,0.304955527,0.958623088,0.902035185,0.960361613,0.908589169,1.467600701,1.103916867,1.136814847,0.337552743,0.383693046,0.877382465,0.854639844,1.135970334,1.140427388,1.101918465,1.128614588,0.285804878,0.239170732,0.277219512
Non-draught cattle,0.701952278,0.658031088,0.861653646,0.836850921,0.947726459,0.899531869,0.334960938,0.942328231,0.894058697,0.919188323,0.886900501,1.473807297,1.087615838,1.114208633,0.368421053,0.433445661,0.840494792,0.830150754,1.148373102,1.176636835,1.114995788,1.123201439,0.305189189,0.256108108,0.293351351
Non-draught cattle,0.662189662,0.660493827,0.828236021,0.811023622,0.937740469,0.877043597,0.325610133,0.909430122,0.877342419,0.891112619,0.871550256,1.4058927,1.057568438,1.15433213,0.368660371,0.42431562,0.811553908,0.805669291,1.091168091,1.135361552,1.079307568,1.16200361,0.2921,0.2384,0.28205
Non-draught cattle,0.666168224,0.814250412,0.867847807,0.894498186,0.992031873,0.978181818,0.350275922,0.847178906,0.971437951,0.86419053,0.948128693,1.531441718,1.146726862,0.944099379,0.400398406,0.453724605,0.88527447,0.873035067,1.117009346,1.218698517,1.124153499,0.967309578,0.297008929,0.251607143,0.285357143
Non-draught cattle,0.703955764,0.705134244,0.843780135,0.808759612,0.979112272,0.904637248,0.31179685,0.965073529,0.892949428,0.965073529,0.907715024,1.491787893,1.07405892,1.169281978,0.361805297,0.396890344,0.843780135,0.822133066,1.116546151,1.139425341,1.07405892,1.150261531,0.275422886,0.25119403,0.271542289
Non-draught cattle,0.660220994,0.691981332,0.82300062,0.815173275,0.899390244,0.901588398,0.304401736,0.908002736,0.892649573,0.917920657,0.870769231,1.415720127,1.041925466,1.092664093,0.332655827,0.38121118,0.831990081,0.795192007,1.047750592,1.107764107,1.030667702,1.12012012,0.27635,0.2499,0.28095
